Facultad,Carrera,Día,H_Inicio,H_Salida,Año_Inicio,Año_Fin,Total Estudiantes
ICA,S INFORMACION,JUEVES,9,11,2024,2024,53
ICA,C GRAFICA,LUNES,9,11,2024,2024,43
IQ,I QUIMICA,MARTES,9,11,2024,2024,42
ARQ,ARQUITECTURA,MARTES,11,13,2024,2024,41
AGR,AGRONOMIA,MIERCOLES,10,12,2024,2024,28
ARQ,ARQUITECTURA,MARTES,11,13,2024,2024,52
ARQ,ARQUITECTURA,VIERNES,7,9,2024,2024,21
CQ,QUIMICA,JUEVES,11,13,2024,2024,15
FILO,P MATEMATICA,JUEVES,14,16,2024,2024,52
AGR,AGRONOMIA,LUNES,10,12,2024,2024,33
ARQ,ARQUITECTURA,LUNES,16,18,2024,2024,35
CQ,BIO Y FAR,MARTES,11,13,2024,2024,55
FILO,P MATEMATICA,MARTES,14,16,2024,2024,15
ICA,CIVIL,MIERCOLES,11,13,2024,2024,44
ICA,CIVIL,MIERCOLES,14,16,2024,2024,46
FILO,P MATEMATICA,JUEVES,7,9,2024,2024,54
FILO,P MATEMATICA,LUNES,7,9,2024,2024,38
CQ,QUIMICA,LUNES,9,11,2024,2024,73
CQ,QUIMICA,MARTES,7,9,2024,2024,27
CIENCIAS,MATEMATICA,MIERCOLES,11,13,2024,2024,29
FILO,MECATRONICA,MIERCOLES,7,9,2024,2024,61
FILO,P MATEMATICA,VIERNES,9,11,2024,2024,45
FILO,P INFORMATICA,JUEVES,9,11,2024,2024,23
FIGEMPA,MINAS,MARTES,9,11,2024,2024,23
CQ,BIO Y FAR,MARTES,11,13,2024,2024,74
CQ,BIOPROCESOS,MIERCOLES,9,11,2024,2024,14
IQ,I QUIMICA,MIERCOLES,11,13,2024,2024,22
ARQ,ARQUITECTURA,VIERNES,11,13,2024,2024,24
FILO,P MATEMATICA,VIERNES,14,16,2024,2024,47
CQ,BIO Y FAR,JUEVES,7,9,2024,2024,44
ARQ,ARQUITECTURA,JUEVES,11,13,2024,2024,49
ARQ,ARQUITECTURA,JUEVES,11,13,2024,2024,43
ARQ,ARQUITECTURA,LUNES,7,9,2024,2024,20
FIGEMPA,PETROLEOS,MARTES,7,9,2024,2024,34
FIGEMPA,AMBIENTAL,MARTES,11,13,2024,2024,43
ARQ,ARQUITECTURA,MIERCOLES,7,9,2024,2024,23
ICA,INDUSTRIAL,MIERCOLES,9,11,2024,2024,32
ICA,CIVIL,JUEVES,9,11,2024,2024,25
IQ,I QUIMICA,JUEVES,11,13,2024,2024,27
FILO,P MATEMATICA,LUNES,9,11,2024,2024,51
FILO,P MATEMATICA,MARTES,9,11,2024,2024,36
ICA,INDUSTRIAL,MIERCOLES,9,11,2024,2024,38
ARQ,ARQUITECTURA,MIERCOLES,11,13,2024,2024,16
ARQ,ARQUITECTURA,MIERCOLES,11,13,2024,2024,55
CQ,BIO Y FAR,VIERNES,10,12,2024,2024,56
ICA,MECANICA,LUNES,7,9,2024,2024,24
FILO,MECATRONICA,MARTES,7,9,2024,2024,31
AGR,AGRONOMIA,MARTES,10,12,2024,2024,34
ARQ,ARQUITECTURA,MIERCOLES,7,9,2024,2024,21
FILO,P MATEMATICA,JUEVES,7,9,2024,2024,50
ARQ,ARQUITECTURA,VIERNES,7,9,2024,2024,21
ICA,S INFORMACION,VIERNES,11,13,2024,2024,40
CQ,QUIMICA,JUEVES,14,16,2024,2024,42
FILO,P MATEMATICA,LUNES,17,19,2024,2024,30
FIGEMPA,PETROLEOS,MARTES,14,16,2024,2024,18
FIGEMPA,GEOLOGIA,MARTES,16,18,2024,2024,15
FIGEMPA,AMBIENTAL,MIERCOLES,16,18,2024,2024,20
ARQ,ARQUITECTURA,VIERNES,15,17,2024,2024,24
ARQ,ARQUITECTURA,VIERNES,15,17,2024,2024,39
FILO,MECATRONICA,VIERNES,18,20,2024,2024,18
CQ,BIO Y FAR,JUEVES,11,13,2024,2024,40
ICA,CIVIL,LUNES,11,13,2024,2024,44
CQ,QUIMICA,MARTES,16,18,2024,2024,52
CQ,QUIMICA,MIERCOLES,13,15,2024,2024,54
CIENCIAS,MATEMATICA,MIERCOLES,15,17,2024,2024,13
ICA,CIVIL,VIERNES,11,13,2024,2024,43
FILO,P MATEMATICA,VIERNES,14,16,2024,2024,43
CIENCIAS,MATEMATICA,JUEVES,12,14,2024,2024,32
CQ,QUIMICA,LUNES,15,17,2024,2024,51
FIGEMPA,GEOLOGIA,MARTES,14,16,2024,2024,31
CIENCIAS,MATEMATICA,JUEVES,12,14,2024,2024,47
AGR,AGRONOMIA,JUEVES,10,12,2024,2024,29
ICA,CIVIL,LUNES,11,13,2024,2024,25
FILO,P MATEMATICA,LUNES,14,16,2024,2024,31
IQ,I QUIMICA,MARTES,9,11,2024,2024,44
FIGEMPA,MINAS,LUNES,9,11,2024,2024,30
CQ,BIO Y FAR,MARTES,15,17,2024,2024,9
FILO,P MATEMATICA,VIERNES,13,15,2024,2024,46
CQ,QUIMICA,LUNES,9,11,2024,2025,19
FILO,P MATEMATICA,MARTES,10,12,2024,2025,50
CQ,QUIMICA,MIERCOLES,10,12,2024,2025,39
ICA,CIVIL,MIERCOLES,11,13,2024,2025,35
CQ,QUIMICA,MIERCOLES,11,13,2024,2025,35
FILO,P INFORMATICA,JUEVES,10,12,2024,2025,47
AGR,AGRONOMIA,JUEVES,9,11,2024,2025,29
AGR,AGRONOMIA,MARTES,14,16,2024,2025,40
ARQ,ARQUITECTURA,JUEVES,13,15,2024,2025,25
ARQ,ARQUITECTURA,MIERCOLES,7,9,2024,2025,21
IQ,I QUIMICA,MARTES,9,11,2024,2025,30
ICA,CIVIL,JUEVES,7,9,2024,2025,39
CQ,BIOPROCESOS,JUEVES,9,11,2024,2025,14
ARQ,ARQUITECTURA,JUEVES,10,12,2024,2025,27
FILO,P MATEMATICA,JUEVES,14,16,2024,2025,54
IQ,I QUIMICA,LUNES,9,11,2024,2025,21
CQ,QUIMICA,JUEVES,11,13,2024,2025,27
FILO,P MATEMATICA,JUEVES,7,9,2024,2025,32
FILO,P MATEMATICA,JUEVES,14,16,2024,2025,44
ICA,CIVIL,JUEVES,14,16,2024,2025,35
FILO,P MATEMATICA,LUNES,7,9,2024,2025,16
FILO,P MATEMATICA,LUNES,14,16,2024,2025,49
ICA,INDUSTRIAL,LUNES,14,16,2024,2025,42
ARQ,ARQUITECTURA,LUNES,7,9,2024,2025,31
AGR,AGRONOMIA,LUNES,10,12,2024,2025,39
ICA,CIVIL,LUNES,13,15,2024,2025,45
FILO,P MATEMATICA,LUNES,14,16,2024,2025,33
FILO,P MATEMATICA,LUNES,16,18,2024,2025,21
ICA,CIVIL,LUNES,11,13,2024,2025,45
FILO,MECATRONICA,LUNES,12,14,2024,2025,40
ARQ,ARQUITECTURA,LUNES,14,16,2024,2025,29
FIGEMPA,AMBIENTAL,MARTES,7,9,2024,2025,30
FIGEMPA,MINAS,LUNES,9,11,2024,2025,19
IQ,I QUIMICA,MARTES,13,15,2024,2025,45
IQ,I QUIMICA,MARTES,14,16,2024,2025,37
FIGEMPA,GEOLOGIA,MARTES,16,18,2024,2025,14
ARQ,ARQUITECTURA,MARTES,15,17,2024,2025,29
FILO,P MATEMATICA,MARTES,7,9,2024,2025,36
FIGEMPA,MINAS,MARTES,9,11,2024,2025,33
FIGEMPA,GEOLOGIA,MARTES,14,16,2024,2025,30
CIENCIAS,MATEMATICA,MARTES,17,19,2024,2025,16
FIGEMPA,PETROLEOS,MARTES,11,13,2024,2025,25
ICA,INDUSTRIAL,MARTES,7,9,2024,2025,48
CQ,BIO Y FAR,MARTES,11,13,2024,2025,48
CQ,BIO Y FAR,MARTES,11,13,2024,2025,43
FILO,P MATEMATICA,MARTES,14,16,2024,2025,37
CIENCIAS,MATEMATICA,VIERNES,7,9,2024,2025,43
CQ,BIOPROCESOS,MIERCOLES,9,11,2024,2025,15
FILO,P MATEMATICA,MIERCOLES,7,9,2024,2025,39
FILO,P MATEMATICA,MIERCOLES,7,9,2024,2025,40
ICA,INDUSTRIAL,MIERCOLES,9,11,2024,2025,37
AGR,AGRONOMIA,MIERCOLES,10,12,2024,2025,41
CQ,QUIMICA,MIERCOLES,13,15,2024,2025,26
CIENCIAS,MATEMATICA,MIERCOLES,17,19,2024,2025,19
CQ,BIO Y FAR,MIERCOLES,9,11,2024,2025,32
ARQ,ARQUITECTURA,MIERCOLES,13,15,2024,2025,22
ARQ,ARQUITECTURA,MIERCOLES,7,9,2024,2025,24
FIGEMPA,PETROLEOS,MIERCOLES,11,13,2024,2025,23
FILO,P MATEMATICA,MIERCOLES,14,16,2024,2025,45
FIGEMPA,AMBIENTAL,JUEVES,16,18,2024,2025,26
CIENCIAS,MATEMATICA,JUEVES,7,9,2024,2025,27
ARQ,ARQUITECTURA,LUNES,7,9,2024,2025,25
ICA,INDUSTRIAL,MARTES,7,9,2024,2025,34
AGR,AGRONOMIA,MARTES,9,11,2024,2025,30
AGR,AGRONOMIA,MIERCOLES,11,13,2024,2025,33
CQ,QUIMICA,VIERNES,9,11,2024,2025,32
ICA,S INFORMACION,VIERNES,12,14,2024,2025,39
ICA,S INFORMACION,VIERNES,12,14,2024,2025,9
ICA,S INFORMACION,VIERNES,7,9,2024,2025,42
FILO,P MATEMATICA,VIERNES,7,9,2024,2025,51
ARQ,ARQUITECTURA,VIERNES,10,12,2024,2025,27
ICA,CIVIL,VIERNES,13,15,2024,2025,36
CIENCIAS,MATEMATICA,VIERNES,14,16,2024,2025,5
ARQ,ARQUITECTURA,VIERNES,7,9,2024,2025,23
AGR,AGRONOMIA,VIERNES,9,11,2024,2025,28
FILO,MECATRONICA,VIERNES,16,18,2024,2025,25
ICA,CIVIL,VIERNES,9,11,2024,2025,39
CQ,BIO Y FAR,VIERNES,7,9,2024,2025,53
FILO,P MATEMATICA,VIERNES,11,13,2024,2025,47
ARQ,ARQUITECTURA,VIERNES,13,15,2024,2025,24
AGR,AGRONOMIA,VIERNES,11,13,2024,2025,26
FILO,MECATRONICA,VIERNES,14,16,2024,2025,61
CQ,BIO Y FAR,LUNES,11,13,2020,2020,37
FIGEMPA,MINAS,LUNES,9,11,2020,2020,43
CQ,BIO Y FAR,MIERCOLES,12,14,2020,2020,73
FIGEMPA,AMBIENTAL,MIERCOLES,14,16,2020,2020,25
IQ,I QUIMICA,MIERCOLES,9,11,2020,2020,66
FILO,P MATEMATICA,VIERNES,7,9,2020,2020,21
CQ,BIO Y FAR,VIERNES,9,11,2020,2020,69
CQ,BIO Y FAR,MARTES,7,9,2020,2020,60
ICA,INDUSTRIAL,VIERNES,11,13,2020,2020,77
FIGEMPA,AMBIENTAL,VIERNES,9,11,2020,2020,35
CQ,QUIMICA,VIERNES,9,11,2020,2020,28
ICA,CIVIL,MIERCOLES,9,11,2020,2020,30
AGR,AGRONOMIA,JUEVES,7,9,2020,2020,27
FILO,MECATRONICA,VIERNES,11,13,2020,2020,45
ARQ,ARQUITECTURA,VIERNES,7,9,2020,2020,25
ICA,CIVIL,JUEVES,11,13,2020,2020,58
CQ,QUIMICA,MARTES,9,11,2020,2020,53
FILO,P MATEMATICA,LUNES,10,12,2020,2020,44
FILO,P MATEMATICA,MIERCOLES,9,11,2020,2020,6
CQ,BIO Y FAR,JUEVES,10,12,2020,2020,39
FILO,P MATEMATICA,JUEVES,7,9,2020,2020,24
CQ,BIO Y FAR,JUEVES,9,11,2020,2020,53
FILO,P INFORMATICA,LUNES,7,9,2020,2020,28
AGR,AGRONOMIA,MARTES,7,9,2020,2020,8
FILO,P MATEMATICA,MARTES,10,12,2020,2020,44
FILO,P MATEMATICA,MIERCOLES,7,9,2020,2020,14
ICA,CIVIL,VIERNES,7,9,2020,2020,63
ICA,CIVIL,VIERNES,9,11,2020,2020,67
ARQ,ARQUITECTURA,MARTES,9,11,2020,2020,24
ARQ,ARQUITECTURA,JUEVES,11,13,2020,2020,22
ICA,INDUSTRIAL,JUEVES,16,18,2020,2020,51
FILO,P MATEMATICA,LUNES,16,18,2020,2020,21
ICA,CIVIL,MARTES,14,16,2020,2020,66
FIGEMPA,GEOLOGIA,MARTES,16,18,2020,2020,19
CQ,BIO Y FAR,MIERCOLES,12,14,2020,2020,73
FILO,P MATEMATICA,MIERCOLES,16,18,2020,2020,29
ICA,CIVIL,JUEVES,16,18,2020,2020,39
ICA,CIVIL,JUEVES,18,20,2020,2020,18
ICA,CIVIL,MARTES,14,16,2020,2020,37
FIGEMPA,GEOLOGIA,MARTES,16,18,2020,2020,18
CQ,QUIMICA,JUEVES,7,9,2020,2020,61
IQ,I QUIMICA,MIERCOLES,11,13,2020,2020,68
FILO,P MATEMATICA,MARTES,7,9,2020,2020,43
FILO,P INFORMATICA,LUNES,7,9,2020,2020,35
FILO,P INFORMATICA,MIERCOLES,7,9,2020,2020,22
FILO,P INFORMATICA,VIERNES,7,9,2020,2020,36
FILO,P MATEMATICA,JUEVES,16,18,2020,2020,40
ICA,CIVIL,LUNES,15,17,2020,2020,63
CQ,BIO Y FAR,LUNES,18,20,2020,2020,8
FIGEMPA,GEOLOGIA,MARTES,14,16,2020,2020,57
FILO,P MATEMATICA,MARTES,16,18,2020,2020,37
ICA,S INFORMACION,MIERCOLES,16,18,2020,2020,65
FILO,P INFORMATICA,MIERCOLES,18,20,2020,2020,37
CQ,BIO Y FAR,VIERNES,13,15,2020,2020,63
FILO,P MATEMATICA,LUNES,16,18,2020,2020,38
FILO,P INFORMATICA,MARTES,18,20,2020,2020,26
FILO,P INFORMATICA,MIERCOLES,16,18,2020,2020,26
ICA,S INFORMACION,VIERNES,18,20,2020,2020,64
IQ,I QUIMICA,JUEVES,15,17,2020,2020,61
CQ,QUIMICA,MARTES,14,16,2020,2020,49
FILO,P MATEMATICA,MARTES,16,18,2020,2020,40
IQ,I QUIMICA,MARTES,11,13,2020,2020,46
FILO,P MATEMATICA,MIERCOLES,16,18,2020,2020,44
FIGEMPA,MINAS,VIERNES,12,14,2020,2020,11
FILO,MECATRONICA,VIERNES,16,18,2020,2020,31
ICA,CIVIL,MARTES,7,9,2020,2020,69
ICA,CIVIL,MIERCOLES,7,9,2020,2020,30
IQ,I QUIMICA,MIERCOLES,11,13,2020,2021,49
ICA,CIVIL,MARTES,14,16,2020,2021,45
CQ,BIO Y FAR,MIERCOLES,9,11,2020,2021,60
CQ,BIO Y FAR,VIERNES,13,15,2020,2021,60
FIGEMPA,GEOLOGIA,MARTES,14,16,2020,2021,30
FIGEMPA,PETROLEOS,MIERCOLES,14,16,2020,2021,32
FILO,P INFORMATICA,LUNES,8,10,2020,2021,27
FILO,P MATEMATICA,MARTES,16,18,2020,2021,43
FILO,MECATRONICA,VIERNES,7,9,2020,2021,45
ARQ,ARQUITECTURA,JUEVES,11,13,2020,2021,45
FILO,P MATEMATICA,MIERCOLES,9,11,2020,2021,51
FILO,P MATEMATICA,JUEVES,16,18,2020,2021,35
ICA,CIVIL,MARTES,9,11,2020,2021,42
FILO,P INFORMATICA,LUNES,15,17,2020,2021,50
FILO,P INFORMATICA,MIERCOLES,7,9,2020,2021,36
FILO,P INFORMATICA,MIERCOLES,15,17,2020,2021,38
FILO,P INFORMATICA,JUEVES,8,10,2020,2021,50
CQ,BIO Y FAR,JUEVES,7,9,2020,2021,35
CQ,BIO Y FAR,VIERNES,15,17,2020,2021,57
FILO,P MATEMATICA,JUEVES,7,9,2021,2021,32
FILO,P MATEMATICA,MARTES,7,9,2021,2021,39
CQ,BIO Y FAR,MIERCOLES,9,11,2021,2021,54
CQ,QUIMICA,VIERNES,9,11,2021,2021,45
IQ,I QUIMICA,VIERNES,13,15,2021,2021,15
CQ,BIO Y FAR,VIERNES,13,15,2021,2021,54
ICA,INDUSTRIAL,MARTES,9,11,2021,2021,60
ICA,CIVIL,LUNES,9,11,2020,2020,64
ICA,INDUSTRIAL,VIERNES,11,13,2020,2020,75
FIGEMPA,PETROLEOS,VIERNES,7,9,2020,2020,50
ICA,CIVIL,MIERCOLES,14,16,2020,2020,29
ICA,COMPUTACION,LUNES,7,9,2020,2020,45
CQ,BIO Y FAR,MARTES,7,9,2020,2020,58
IQ,I QUIMICA,MIERCOLES,7,9,2020,2020,17
IQ,I QUIMICA,MARTES,11,13,2021,2021,11
FIGEMPA,AMBIENTAL,MIERCOLES,14,16,2021,2021,18
AGR,AGRONOMIA,VIERNES,10,12,2021,2021,65
ARQ,ARQUITECTURA,MARTES,9,11,2021,2021,26
FILO,P MATEMATICA,MIERCOLES,9,11,2021,2021,40
ICA,COMPUTACION,MIERCOLES,14,16,2021,2021,70
ARQ,ARQUITECTURA,JUEVES,11,13,2021,2021,26
FILO,P MATEMATICA,JUEVES,16,18,2021,2021,32
FIGEMPA,GEOLOGIA,MARTES,14,16,2021,2021,19
FIGEMPA,MINAS,MARTES,16,18,2021,2021,18
CIENCIAS,MATEMATICA,MIERCOLES,15,17,2021,2021,36
CQ,BIO Y FAR,VIERNES,17,19,2021,2021,72
FILO,P INFORMATICA,JUEVES,7,9,2021,2021,41
FILO,P INFORMATICA,LUNES,7,9,2021,2021,33
FILO,P INFORMATICA,MIERCOLES,15,17,2021,2021,40
FILO,P INFORMATICA,VIERNES,7,9,2021,2021,38
CQ,QUIMICA,JUEVES,8,10,2021,2021,50
ICA,CIVIL,MIERCOLES,7,9,2021,2021,38
IQ,I QUIMICA,MIERCOLES,13,15,2021,2021,40
FILO,P INFORMATICA,JUEVES,15,17,2021,2021,34
CIENCIAS,MATEMATICA,LUNES,13,15,2021,2021,32
FILO,P MATEMATICA,LUNES,16,18,2021,2021,25
FILO,P MATEMATICA,MARTES,16,18,2021,2021,34
FIGEMPA,MINAS,VIERNES,14,16,2021,2021,9
FILO,P MATEMATICA,VIERNES,16,18,2021,2021,37
CQ,BIO Y FAR,LUNES,10,12,2022,2023,18
ICA,CIVIL,MIERCOLES,9,11,2022,2023,38
FILO,P MATEMATICA,LUNES,7,9,2022,2023,48
ICA,CIVIL,MIERCOLES,9,11,2023,2023,43
FILO,P MATEMATICA,MARTES,7,9,2023,2023,43
FILO,P MATEMATICA,LUNES,7,10,2023,2023,29
ARQ,ARQUITECTURA,MIERCOLES,13,15,2023,2024,40
ICA,CIVIL,JUEVES,7,9,2023,2024,53
ICA,CIVIL,JUEVES,9,11,2023,2024,43
FILO,P MATEMATICA,LUNES,7,9,2023,2024,50
ICA,CIVIL,VIERNES,9,11,2023,2024,47
ARQ,ARQUITECTURA,VIERNES,11,13,2023,2024,50
